Marca temporal;4. ¿En que rango de edad se encuentra?;5. Departamento de residencia:;1. ¿Es o alguna vez fue usted beneficiario de jóvenes en acción?;2. ¿Durante cuantos años a recibido jóvenes en acción?;3. ¿Tenia conocimiento sobre la información del enunciado anterior?;4. ¿Logro usar este beneficio para continuar con su formación académica?;5. ¿En caso de haber logrado usar este beneficio cual fue el transito académico que realizo?;1. ¿Qué nivel académico estaba cursando cuando empezó a recibir jóvenes en acción?;2. ¿De cual de los siguientes niveles académicos se a graduado?;3. ¿En este momento estudia, trabaja o ambas?;4. ¿Cómo realizo su primer formación académica?;5. Si ya trabaja, ¿Cómo continua ahora su formación académica?
2023/07/05 2:14:07 p. m. GMT-5;16 - 18;Tolima;Sí. Actualmente soy beneficiario;1;No;No;No hice uso de este beneficio;Pregrado;Pregrado;Estudiante;A distancia;Todavía no he tenido mi primer experiencia laboral relacionada con mis estudios
2023/07/05 2:19:29 p. m. GMT-5;26 - 28;Cundinamarca;Sí. Actualmente soy beneficiario;2;Sí;Sí;Tecnólogo > Pregrado;Pregrado;Técnico;Ambas;Presencial;Presencial
2023/07/05 2:25:19 p. m. GMT-5;19 - 21;Cundinamarca ;Sí. Actualmente soy beneficiario;1;Sí;Sí;Técnico > Pregrado;Técnico;Técnico;Ambas;A distancia;A distancia
2023/07/05 2:25:44 p. m. GMT-5;19 - 21;CUNDINAMARCA;Sí. Actualmente soy beneficiario;4;No;Sí;Técnico > Pregrado;Técnico;Técnico;Estudiante;Presencial;Todavía no he tenido mi primer experiencia laboral relacionada con mis estudios
2023/07/05 2:26:40 p. m. GMT-5;22 - 25;Tolima;Sí. Actualmente soy beneficiario;2;No;Sí;No hice uso de este beneficio;Tecnología;Tecnología;Ambas;A distancia;A distancia
2023/07/05 2:34:44 p. m. GMT-5;22 - 25;Risaralda ;Sí. Actualmente soy beneficiario;2;Sí;Sí;Técnico > Pregrado;Pregrado;Técnico;Estudiante;Virtual;Todavía no he tenido mi primer experiencia laboral relacionada con mis estudios
2023/07/05 3:59:08 p. m. GMT-5;22 - 25;Cundinamarca ;Sí. Actualmente soy beneficiario;4;Sí;Sí;Tecnólogo > Pregrado;Tecnología;Tecnología;Ambas;Presencial;A distancia
2023/07/05 4:07:57 p. m. GMT-5;22 - 25;Cauca;Si. Alguna vez fui beneficiario;2;No;Sí;Tecnólogo > Pregrado;Tecnología;Técnico;;;
2023/07/05 4:08:07 p. m. GMT-5;26 - 28;Tolima;Sí. Actualmente soy beneficiario;2;No;No;No hice uso de este beneficio;Pregrado;Pregrado;Ambas;A distancia;Presencial
2023/07/05 5:57:00 p. m. GMT-5;26 - 28;CUNDINAMARCA;Sí. Actualmente soy beneficiario;4;No;Sí;Técnico > Pregrado;Pregrado;Técnico;Ambas;Presencial;A distancia
2023/07/05 6:35:06 p. m. GMT-5;26 - 28;cundinamarca;Si. Alguna vez fui beneficiario;1;No;No;No hice uso de este beneficio;Tecnología;Técnico;Ambas;Presencial;A distancia
2023/07/05 7:02:33 p. m. GMT-5;22 - 25;Bogota;No. Nunca he sido beneficiario;1;No;No;No hice uso de este beneficio;Técnico;Tecnología;Ambas;Presencial;A distancia
2023/07/05 7:34:21 p. m. GMT-5;22 - 25;Huila;No. Nunca he sido beneficiario;1;No;No;No hice uso de este beneficio;Pregrado;Tecnología;Estudiante;A distancia;Todavía no he tenido mi primer experiencia laboral relacionada con mis estudios
2023/07/05 9:12:55 p. m. GMT-5;22 - 25;tolima;Sí. Actualmente soy beneficiario;1;No;No;No hice uso de este beneficio;Pregrado;Técnico;Ambas;Presencial;A distancia
2023/07/05 9:53:26 p. m. GMT-5;26 - 28;Antioquia ;Sí. Actualmente soy beneficiario;2;No;Sí;Tecnólogo > Pregrado;Pregrado;Tecnología;Estudiante;Presencial;Todavía no he tenido mi primer experiencia laboral relacionada con mis estudios
2023/07/05 10:14:10 p. m. GMT-5;22 - 25;Bogota ;No. Nunca he sido beneficiario;1;No;No;No hice uso de este beneficio;Pregrado;Técnico;Ambas;A distancia;A distancia
2023/07/05 10:40:55 p. m. GMT-5;19 - 21;tolima;Sí. Actualmente soy beneficiario;2;No;Sí;Técnico > Pregrado;Pregrado;Técnico;Ambas;A distancia;Presencial
2023/07/06 12:34:31 a. m. GMT-5;26 - 28;tolima;Sí. Actualmente soy beneficiario;4;No;Sí;Tecnólogo > Pregrado;Pregrado;Tecnología;Ambas;A distancia;A distancia
2023/07/06 11:37:37 a. m. GMT-5;22 - 25;Pacho ;Sí. Actualmente soy beneficiario;4;No;No;No hice uso de este beneficio;Pregrado;Técnico;Estudiante;A distancia;Todavía no he tenido mi primer experiencia laboral relacionada con mis estudios
2023/07/06 11:43:04 a. m. GMT-5;22 - 25;Bogota ;Sí. Actualmente soy beneficiario;1;No;No;No hice uso de este beneficio;Pregrado;Técnico;;;
2023/07/06 11:56:16 a. m. GMT-5;19 - 21;Tolima ;Sí. Actualmente soy beneficiario;5;Sí;No;No hice uso de este beneficio;Pregrado;Técnico;Ambas;A distancia;Todavía no he tenido mi primer experiencia laboral relacionada con mis estudios
2023/07/06 4:23:11 p. m. GMT-5;26 - 28;Valle del cauca;Sí. Actualmente soy beneficiario;4;Sí;Sí;Técnico > Pregrado;Pregrado;Técnico;Estudiante;Presencial;Todavía no he tenido mi primer experiencia laboral relacionada con mis estudios
2023/07/06 6:43:40 p. m. GMT-5;19 - 21;Bogotá;No. Nunca he sido beneficiario;1;No;No;No hice uso de este beneficio;Técnico;Técnico;Ambas;A distancia;A distancia
2023/07/06 7:18:06 p. m. GMT-5;26 - 28;tolima;Si. Alguna vez fui beneficiario;1;No;No;No hice uso de este beneficio;Técnico;Técnico;Estudiante;Presencial;A distancia
2023/07/06 8:38:38 p. m. GMT-5;19 - 21;Tolima;Sí. Actualmente soy beneficiario;2;No;No;No hice uso de este beneficio;Pregrado;Tecnología;Ambas;Virtual;A distancia
2023/07/06 10:52:27 p. m. GMT-5;22 - 25;Antioquia;Sí. Actualmente soy beneficiario;2;No;No;No hice uso de este beneficio;Pregrado;Técnico;Estudiante;Presencial;Todavía no he tenido mi primer experiencia laboral relacionada con mis estudios
2023/07/07 3:17:08 a. m. GMT-5;26 - 28;Tolima;Sí. Actualmente soy beneficiario;2;No;No;No hice uso de este beneficio;Pregrado;Técnico;;;
2023/07/07 11:26:10 a. m. GMT-5;26 - 28;tolima;Sí. Actualmente soy beneficiario;2;Sí;No;No hice uso de este beneficio;Pregrado;Tecnología;Ambas;A distancia;A distancia
2023/07/07 4:25:07 p. m. GMT-5;22 - 25;HUILA;No. Nunca he sido beneficiario;1;Sí;No;No hice uso de este beneficio;Pregrado;Pregrado;Ambas;A distancia;Todavía no he tenido mi primer experiencia laboral relacionada con mis estudios
2023/07/07 8:09:50 p. m. GMT-5;26 - 28;CAUCA;Sí. Actualmente soy beneficiario;2;Sí;No;No hice uso de este beneficio;Tecnología;Tecnología;Estudiante;Presencial;A distancia
2023/07/07 8:58:45 p. m. GMT-5;19 - 21;Campoalegre-Huila ;Sí. Actualmente soy beneficiario;2;Sí;Sí;Técnico > Pregrado;Pregrado;Técnico;Estudiante;Presencial;Todavía no he tenido mi primer experiencia laboral relacionada con mis estudios
2023/07/07 9:02:59 p. m. GMT-5;22 - 25;Tolima;Sí. Actualmente soy beneficiario;2;No;No;No hice uso de este beneficio;Pregrado;Técnico;Estudiante;A distancia;Todavía no he tenido mi primer experiencia laboral relacionada con mis estudios
2023/07/08 9:04:25 a. m. GMT-5;26 - 28;Bogota;Sí. Actualmente soy beneficiario;2;No;Sí;Tecnólogo > Pregrado;Pregrado;Técnico;Estudiante;Presencial;Presencial
2023/07/08 11:23:23 a. m. GMT-5;22 - 25;BOGOTÁ;Sí. Actualmente soy beneficiario;2;No;Sí;Tecnólogo > Pregrado;Pregrado;Técnico;Ambas;A distancia;A distancia
2023/07/08 7:28:41 p. m. GMT-5;26 - 28;antioquia;Sí. Actualmente soy beneficiario;2;No;No;No hice uso de este beneficio;Pregrado;Tecnología;Estudiante;A distancia;Todavía no he tenido mi primer experiencia laboral relacionada con mis estudios
2023/07/09 5:48:23 p. m. GMT-5;22 - 25;Antioquia;Sí. Actualmente soy beneficiario;1;Sí;Sí;Tecnólogo > Pregrado;Pregrado;Técnico;Estudiante;Presencial;Presencial
2023/07/09 7:58:17 p. m. GMT-5;22 - 25;Antioquia;Sí. Actualmente soy beneficiario;1;No;Sí;Tecnólogo > Pregrado;Tecnología;Tecnología;Estudiante;Virtual;Todavía no he tenido mi primer experiencia laboral relacionada con mis estudios
2023/07/09 8:10:57 p. m. GMT-5;19 - 21;Huila;Sí. Actualmente soy beneficiario;2;No;Sí;Técnico > Pregrado;Técnico;Técnico;Ambas;Presencial;A distancia
2023/07/12 10:42:40 a. m. GMT-5;19 - 21;tolima;Sí. Actualmente soy beneficiario;2;No;No;No hice uso de este beneficio;Pregrado;Técnico;;;
2023/07/12 7:59:11 p. m. GMT-5;19 - 21;Tolima;Sí. Actualmente soy beneficiario;2;Sí;No;No hice uso de este beneficio;Pregrado;Técnico;Ambas;A distancia;A distancia
2023/07/13 7:54:01 p. m. GMT-5;22 - 25;tolima;Sí. Actualmente soy beneficiario;1;No;No;No hice uso de este beneficio;Pregrado;Técnico;Estudiante;A distancia;Todavía no he tenido mi primer experiencia laboral relacionada con mis estudios
2023/07/17 7:02:59 a. m. GMT-5;26 - 28;Atlántico ;Sí. Actualmente soy beneficiario;1;Sí;Sí;Técnico > Pregrado;Pregrado;Técnico;Estudiante;Presencial;A distancia
2023/07/17 12:06:40 p. m. GMT-5;26 - 28;Antioquia;Sí. Actualmente soy beneficiario;1;No;No;No hice uso de este beneficio;Pregrado;Técnico;Estudiante;Presencial;Todavía no he tenido mi primer experiencia laboral relacionada con mis estudios
2023/07/17 12:10:45 p. m. GMT-5;22 - 25;Antioquia;Sí. Actualmente soy beneficiario;1;No;No;No hice uso de este beneficio;Tecnología;Tecnología;Estudiante;Presencial;Todavía no he tenido mi primer experiencia laboral relacionada con mis estudios
